"timestamp [UTC]",message,severityLevel,itemType,customDimensions,customMeasurements,"operation_Name","operation_Id","operation_ParentId","operation_SyntheticSource","session_Id","user_Id","user_AuthenticatedId","user_AccountId","application_Version","client_Type","client_Model","client_OS","client_IP","client_City","client_StateOrProvince","client_CountryOrRegion","client_Browser","cloud_RoleName","cloud_RoleInstance",appId,appName,iKey,sdkVersion,itemId,itemCount,"_ResourceId"
"23/6/2026, 12:43:25.137 a.m.","[info Inicio de sesion exitoso 2026-06-23T00:43:25.138Z]",1,trace,"{""timestamp"":""2026-06-23T00:43:25.1380000Z""}",,,30b7222944e4f6eff5f86503b31eda04,27e6d7d903b30cad,,,,,,,PC,Other,"Linux 6.12","0.0.0.0",Leon,Guanajuato,Mexico,Other,"unknown_service:node",ba4277cba36a,"172d76c1-d6ab-40be-bb27-4fcb4ab7bd8c","/subscriptions/3fd46d38-9593-4358-9379-d37f848764d7/resourcegroups/libroclaro/providers/microsoft.insights/components/appinsights-libroclaro","3454ece3-3330-46bf-840d-5a22d7ca296a","ulm_node20:otel2.7.1:dst1.18.1","8d521f57-6e9c-11f1-ba33-000d3ac625ce",1,"/subscriptions/3fd46d38-9593-4358-9379-d37f848764d7/resourcegroups/libroclaro/providers/microsoft.insights/components/appinsights-libroclaro"
"23/6/2026, 12:42:21.390 a.m.","[info MongoDB conectado correctamente 2026-06-23T00:42:21.389Z]",1,trace,"{""timestamp"":""2026-06-23T00:42:21.3890000Z""}",,,,,,,,,,,PC,Other,"Linux 6.12","0.0.0.0",Leon,Guanajuato,Mexico,Other,"unknown_service:node",ba4277cba36a,"172d76c1-d6ab-40be-bb27-4fcb4ab7bd8c","/subscriptions/3fd46d38-9593-4358-9379-d37f848764d7/resourcegroups/libroclaro/providers/microsoft.insights/components/appinsights-libroclaro","3454ece3-3330-46bf-840d-5a22d7ca296a","ulm_node20:otel2.7.1:dst1.18.1","67ea92f3-6e9c-11f1-ba33-000d3ac62928",1,"/subscriptions/3fd46d38-9593-4358-9379-d37f848764d7/resourcegroups/libroclaro/providers/microsoft.insights/components/appinsights-libroclaro"
"23/6/2026, 12:42:21.393 a.m.","[info API de LibroClaro iniciada 2026-06-23T00:42:21.393Z]",1,trace,"{""timestamp"":""2026-06-23T00:42:21.3930000Z""}",,,,,,,,,,,PC,Other,"Linux 6.12","0.0.0.0",Leon,Guanajuato,Mexico,Other,"unknown_service:node",ba4277cba36a,"172d76c1-d6ab-40be-bb27-4fcb4ab7bd8c","/subscriptions/3fd46d38-9593-4358-9379-d37f848764d7/resourcegroups/libroclaro/providers/microsoft.insights/components/appinsights-libroclaro","3454ece3-3330-46bf-840d-5a22d7ca296a","ulm_node20:otel2.7.1:dst1.18.1","67ea9309-6e9c-11f1-ba33-000d3ac62928",1,"/subscriptions/3fd46d38-9593-4358-9379-d37f848764d7/resourcegroups/libroclaro/providers/microsoft.insights/components/appinsights-libroclaro"
"23/6/2026, 12:43:09.495 a.m.","[warn Token JWT invalido o expirado 2026-06-23T00:43:09.495Z]",1,trace,"{""timestamp"":""2026-06-23T00:43:09.4950000Z""}",,,98d72c926b11bf315e9fa75a8484d562,bad0c2646b656aba,,,,,,,PC,Other,"Linux 6.12","0.0.0.0",Leon,Guanajuato,Mexico,Other,"unknown_service:node",ba4277cba36a,"172d76c1-d6ab-40be-bb27-4fcb4ab7bd8c","/subscriptions/3fd46d38-9593-4358-9379-d37f848764d7/resourcegroups/libroclaro/providers/microsoft.insights/components/appinsights-libroclaro","3454ece3-3330-46bf-840d-5a22d7ca296a","ulm_node20:otel2.7.1:dst1.18.1","84b9fa50-6e9c-11f1-8065-7ced8dd42374",1,"/subscriptions/3fd46d38-9593-4358-9379-d37f848764d7/resourcegroups/libroclaro/providers/microsoft.insights/components/appinsights-libroclaro"
"23/6/2026, 12:43:09.502 a.m.","[warn Token JWT invalido o expirado 2026-06-23T00:43:09.501Z]",1,trace,"{""timestamp"":""2026-06-23T00:43:09.5010000Z""}",,,a3d9be6e28a1044a6cd5e5cf2e5d4712,3ab6d6b4ae538f08,,,,,,,PC,Other,"Linux 6.12","0.0.0.0",Leon,Guanajuato,Mexico,Other,"unknown_service:node",ba4277cba36a,"172d76c1-d6ab-40be-bb27-4fcb4ab7bd8c","/subscriptions/3fd46d38-9593-4358-9379-d37f848764d7/resourcegroups/libroclaro/providers/microsoft.insights/components/appinsights-libroclaro","3454ece3-3330-46bf-840d-5a22d7ca296a","ulm_node20:otel2.7.1:dst1.18.1","84b9fa59-6e9c-11f1-8065-7ced8dd42374",1,"/subscriptions/3fd46d38-9593-4358-9379-d37f848764d7/resourcegroups/libroclaro/providers/microsoft.insights/components/appinsights-libroclaro"
"23/6/2026, 12:43:09.508 a.m.","[warn Token JWT invalido o expirado 2026-06-23T00:43:09.508Z]",1,trace,"{""timestamp"":""2026-06-23T00:43:09.5080000Z""}",,,dd1d7db7d320a4878563d31603d146ab,4b2fb0a84dd19851,,,,,,,PC,Other,"Linux 6.12","0.0.0.0",Leon,Guanajuato,Mexico,Other,"unknown_service:node",ba4277cba36a,"172d76c1-d6ab-40be-bb27-4fcb4ab7bd8c","/subscriptions/3fd46d38-9593-4358-9379-d37f848764d7/resourcegroups/libroclaro/providers/microsoft.insights/components/appinsights-libroclaro","3454ece3-3330-46bf-840d-5a22d7ca296a","ulm_node20:otel2.7.1:dst1.18.1","84b9fa5c-6e9c-11f1-8065-7ced8dd42374",1,"/subscriptions/3fd46d38-9593-4358-9379-d37f848764d7/resourcegroups/libroclaro/providers/microsoft.insights/components/appinsights-libroclaro"
"23/6/2026, 1:08:09.625 a.m.","[warn Intento de login fallido: credenciales invalidas 2026-06-23T01:08:09.622Z]",1,trace,"{""timestamp"":""2026-06-23T01:08:09.6220000Z""}",,,f33430ef2b92e1a312e453942b058424,8dc5a9150944803c,,,,,,,PC,Other,"Linux 5.15","0.0.0.0",Leon,Guanajuato,Mexico,Other,"unknown_service:node",96f199a50eb2,"172d76c1-d6ab-40be-bb27-4fcb4ab7bd8c","/subscriptions/3fd46d38-9593-4358-9379-d37f848764d7/resourcegroups/libroclaro/providers/microsoft.insights/components/appinsights-libroclaro","3454ece3-3330-46bf-840d-5a22d7ca296a","ulm_node20:otel2.7.1:dst1.18.1","01fed52b-6ea0-11f1-ba33-000d3afbe5e9",1,"/subscriptions/3fd46d38-9593-4358-9379-d37f848764d7/resourcegroups/libroclaro/providers/microsoft.insights/components/appinsights-libroclaro"
"23/6/2026, 1:06:51.481 a.m.","[info MongoDB conectado correctamente 2026-06-23T01:06:51.479Z]",1,trace,"{""timestamp"":""2026-06-23T01:06:51.4790000Z""}",,,,,,,,,,,PC,Other,"Linux 5.15","0.0.0.0",Monterrey,"Nuevo Leon",Mexico,Other,"unknown_service:node",96f199a50eb2,"172d76c1-d6ab-40be-bb27-4fcb4ab7bd8c","/subscriptions/3fd46d38-9593-4358-9379-d37f848764d7/resourcegroups/libroclaro/providers/microsoft.insights/components/appinsights-libroclaro","3454ece3-3330-46bf-840d-5a22d7ca296a","ulm_node20:otel2.7.1:dst1.18.1","d37cafbc-6e9f-11f1-8067-002248b5dd27",1,"/subscriptions/3fd46d38-9593-4358-9379-d37f848764d7/resourcegroups/libroclaro/providers/microsoft.insights/components/appinsights-libroclaro"
"23/6/2026, 1:06:51.489 a.m.","[info API de LibroClaro iniciada 2026-06-23T01:06:51.489Z]",1,trace,"{""timestamp"":""2026-06-23T01:06:51.4890000Z""}",,,,,,,,,,,PC,Other,"Linux 5.15","0.0.0.0",Monterrey,"Nuevo Leon",Mexico,Other,"unknown_service:node",96f199a50eb2,"172d76c1-d6ab-40be-bb27-4fcb4ab7bd8c","/subscriptions/3fd46d38-9593-4358-9379-d37f848764d7/resourcegroups/libroclaro/providers/microsoft.insights/components/appinsights-libroclaro","3454ece3-3330-46bf-840d-5a22d7ca296a","ulm_node20:otel2.7.1:dst1.18.1","d37cafbf-6e9f-11f1-8067-002248b5dd27",1,"/subscriptions/3fd46d38-9593-4358-9379-d37f848764d7/resourcegroups/libroclaro/providers/microsoft.insights/components/appinsights-libroclaro"
"23/6/2026, 1:08:15.271 a.m.","[info Inicio de sesion exitoso 2026-06-23T01:08:15.271Z]",1,trace,"{""timestamp"":""2026-06-23T01:08:15.2710000Z""}",,,ff916678a578ccfa13f84a92a529e427,e458a20d27fcf0b9,,,,,,,PC,Other,"Linux 5.15","0.0.0.0",Leon,Guanajuato,Mexico,Other,"unknown_service:node",96f199a50eb2,"172d76c1-d6ab-40be-bb27-4fcb4ab7bd8c","/subscriptions/3fd46d38-9593-4358-9379-d37f848764d7/resourcegroups/libroclaro/providers/microsoft.insights/components/appinsights-libroclaro","3454ece3-3330-46bf-840d-5a22d7ca296a","ulm_node20:otel2.7.1:dst1.18.1","054320ce-6ea0-11f1-ba33-000d3afbe01b",1,"/subscriptions/3fd46d38-9593-4358-9379-d37f848764d7/resourcegroups/libroclaro/providers/microsoft.insights/components/appinsights-libroclaro"
